chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classes_BC
org/jfree/chart/block/,Arrangement.java,7,61,8.714286,6,1.452381
org/jfree/chart/text/,TextFragment.java,16,275,17.1875,19,0.90460527
org/jfree/chart/plot/,CategoryCrosshairState.java,64,93,1.453125,11,0.13210227
org/jfree/chart/annotations/,XYDrawableAnnotation.java,17,275,16.17647,17,0.95155704
org/jfree/chart/labels/,IntervalXYToolTipGenerator.java,11,246,22.363636,27,0.82828283
org/jfree/chart/plot/,PlotRenderingInfo.java,15,269,17.933332,19,0.9438596
org/jfree/chart/entity/,AxisEntity.java,11,192,17.454546,14,1.2467533
org/jfree/chart/labels/,FlowLabelGenerator.java,6,48,8.0,5,1.6
org/jfree/chart/internal/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/legend/,LegendTitle.java,39,634,16.25641,48,0.33867523
org/jfree/chart/annotations/,XYBoxAnnotation.java,24,347,14.458333,23,0.6286232
org/jfree/chart/legend/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/util/,StringUtils.java,25,62,2.48,8,0.31
org/jfree/chart/api/,RectangleAnchor.java,6,157,26.166666,6,4.361111
org/jfree/chart/internal/,PaintUtils.java,117,84,0.71794873,24,0.02991453
org/jfree/chart/axis/,SymbolAxis.java,28,710,25.357143,74,0.3426641
org/jfree/chart/event/,ChartChangeEventType.java,2,48,24.0,4,6.0
org/jfree/chart/axis/,CyclicNumberAxis.java,26,1135,43.653847,105,0.41575092
org/jfree/chart/labels/,ItemLabelPosition.java,6,179,29.833334,10,2.9833333
org/jfree/chart/block/,EntityBlockResult.java,5,48,9.6,4,2.4
org/jfree/chart/axis/,TickUnits.java,7,200,28.571428,14,2.0408163
org/jfree/chart/event/,ChartProgressEventType.java,2,44,22.0,4,5.5
org/jfree/chart/imagemap/,ToolTipTagFragmentGenerator.java,4,57,14.25,4,3.5625
org/jfree/chart/labels/,CustomXYToolTipGenerator.java,8,172,21.5,15,1.4333333
org/jfree/chart/axis/,ModuloAxis.java,215,187,0.8697674,44,0.01976744
org/jfree/chart/labels/,StandardCategorySeriesLabelGenerator.java,9,145,16.11111,9,1.7901235
org/jfree/chart/internal/,CloneUtils.java,89,85,0.9550562,24,0.03979401
org/jfree/chart/axis/,LogarithmicAxis.java,12,1017,84.75,146,0.58047944
org/jfree/chart/annotations/,CategoryPointerAnnotation.java,29,500,17.241379,20,0.86206895
org/jfree/chart/util/,ShadowGenerator.java,7,61,8.714286,5,1.7428572
org/jfree/chart/swing/,ChartMouseEvent.java,7,97,13.857142,7,1.9795917
org/jfree/chart/labels/,StandardPieToolTipGenerator.java,9,129,14.333333,7,2.047619
org/jfree/chart/plot/,XYPlot.java,42,5346,127.28571,516,0.24667774
org/jfree/chart/axis/,ExtendedCategoryAxis.java,19,226,11.894737,20,0.5947369
org/jfree/chart/block/,Block.java,13,88,6.769231,5,1.3538462
org/jfree/chart/axis/,AxisCollection.java,6,131,21.833334,8,2.7291667
org/jfree/chart/axis/,CategoryTick.java,6,136,22.666666,9,2.5185184
org/jfree/chart/plot/,Pannable.java,11,69,6.2727275,10,0.6272727
org/jfree/chart/entity/,ChartEntity.java,16,380,23.75,31,0.766129
org/jfree/chart/entity/,TitleEntity.java,11,191,17.363636,14,1.2402598
org/jfree/chart/labels/,PieToolTipGenerator.java,5,49,9.8,5,1.96
org/jfree/chart/entity/,TickLabelEntity.java,5,54,10.8,4,2.7
org/jfree/chart/swing/,DefaultSelectionZoomStrategy.java,13,250,19.23077,19,1.0121458
org/jfree/chart/api/,RectangleAlignment.java,4,138,34.5,5,6.9
org/jfree/chart/plot/,CrosshairState.java,4,349,87.25,19,4.5921054
org/jfree/chart/renderer/,GrayPaintScale.java,8,209,26.125,22,1.1875
org/jfree/chart/util/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/block/,LabelBlock.java,24,392,16.333334,23,0.71014494
org/jfree/chart/block/,ColorBlock.java,12,174,14.5,11,1.3181819
org/jfree/chart/entity/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/annotations/,XYAnnotation.java,11,53,4.818182,5,0.9636364
org/jfree/chart/imagemap/,StandardURLTagFragmentGenerator.java,11,55,5.0,4,1.25
org/jfree/chart/imagemap/,StandardToolTipTagFragmentGenerator.java,12,53,4.4166665,4,1.1041666
org/jfree/chart/labels/,StandardCategoryItemLabelGenerator.java,10,131,13.1,10,1.3100001
org/jfree/chart/util/,PaintAlpha.java,79,295,3.734177,18,0.20745428
org/jfree/chart/swing/,ApplicationFrame.java,35,79,2.2571428,7,0.32244897
org/jfree/chart/axis/,Axis.java,42,1634,38.904762,108,0.36022928
org/jfree/chart/util/,StandardGradientPaintTransformer.java,9,159,17.666666,15,1.1777778
org/jfree/chart/labels/,AbstractPieItemLabelGenerator.java,9,219,24.333334,17,1.4313726
org/jfree/chart/plot/,SpiderWebPlot.java,28,1421,50.75,87,0.5833333
org/jfree/chart/internal/,ShapeUtils.java,121,383,3.1652892,39,0.08116126
org/jfree/chart/swing/,MouseWheelHandler.java,12,135,11.25,17,0.6617647
org/jfree/chart/swing/,Overlay.java,7,71,10.142858,6,1.6904763
org/jfree/chart/labels/,StandardCrosshairLabelGenerator.java,8,138,17.25,9,1.9166666
org/jfree/chart/entity/,XYItemEntity.java,4,162,40.5,8,5.0625
org/jfree/chart/text/,G2TextMeasurer.java,5,62,12.4,4,3.1
org/jfree/chart/plot/,ThermometerPlot.java,41,1572,38.341465,96,0.39939025
org/jfree/chart/urls/,StandardXYURLGenerator.java,6,146,24.333334,10,2.4333334
org/jfree/chart/labels/,CategoryToolTipGenerator.java,5,56,11.2,4,2.8
org/jfree/chart/swing/,UIUtils.java,85,96,1.1294118,15,0.07529412
org/jfree/chart/labels/,PieSectionLabelGenerator.java,11,74,6.7272725,6,1.1212121
org/jfree/chart/axis/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/text/,TextBox.java,18,400,22.222221,22,1.010101
org/jfree/chart/title/,CompositeTitle.java,18,221,12.277778,15,0.8185185
org/jfree/chart/date/,MonthConstants.java,2,76,38.0,4,9.5
org/jfree/chart/axis/,ValueTick.java,3,130,43.333332,8,5.4166665
org/jfree/chart/encoders/,package-info.java,1,3,3.0,2,1.5
org/jfree/chart/plot/,DefaultDrawingSupplier.java,20,508,25.4,24,1.0583333
org/jfree/chart/encoders/,SunPNGEncoderAdapter.java,36,81,2.25,7,0.32142857
org/jfree/chart/plot/,CombinedRangeCategoryPlot.java,26,537,20.653847,48,0.43028846
org/jfree/chart/labels/,XYToolTipGenerator.java,5,48,9.6,5,1.9200001
org/jfree/chart/date/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/axis/,CategoryLabelPosition.java,7,244,34.857143,12,2.904762
org/jfree/chart/axis/,CompassFormat.java,6,142,23.666666,11,2.151515
org/jfree/chart/swing/,PolarChartPanel.java,9,221,24.555555,19,1.2923976
org/jfree/chart/axis/,StandardTickUnitSource.java,4,122,30.5,7,4.357143
org/jfree/chart/labels/,BubbleXYItemLabelGenerator.java,14,248,17.714285,21,0.8435374
org/jfree/chart/api/,Rotation.java,2,70,35.0,4,8.75
org/jfree/chart/swing/,OverlayChangeListener.java,5,43,8.6,5,1.72
org/jfree/chart/block/,AbstractBlock.java,15,616,41.066666,43,0.9550387
org/jfree/chart/block/,BlockResult.java,3,73,24.333334,4,6.0833335
org/jfree/chart/block/,LengthConstraintType.java,2,53,26.5,4,6.625
org/jfree/chart/labels/,IntervalCategoryItemLabelGenerator.java,11,118,10.727273,11,0.9752066
org/jfree/chart/text/,TextUtils.java,393,307,0.7811705,75,0.010415606
org/jfree/chart/event/,AxisChangeEvent.java,3,62,20.666666,4,5.1666665
org/jfree/chart/event/,ChartChangeListener.java,5,47,9.4,6,1.5666666
org/jfree/chart/plot/,CombinedRangeXYPlot.java,25,682,27.28,61,0.4472131
org/jfree/chart/axis/,DateTickMarkPosition.java,2,54,27.0,4,6.75
org/jfree/chart/annotations/,CategoryTextAnnotation.java,19,246,12.947369,13,0.9959514
org/jfree/chart/annotations/,XYTextAnnotation.java,29,610,21.034483,28,0.75123155
org/jfree/chart/axis/,TickUnitSource.java,6,68,11.333333,7,1.6190475
org/jfree/chart/block/,Size2D.java,4,158,39.5,10,3.95
org/jfree/chart/text/,TextBlock.java,15,288,19.2,21,0.9142858
org/jfree/chart/title/,ImageTitle.java,13,346,26.615385,24,1.1089743
org/jfree/chart/renderer/,LookupPaintScale.java,16,358,22.375,38,0.5888158
org/jfree/chart/labels/,AbstractXYItemLabelGenerator.java,11,333,30.272728,27,1.1212121
org/jfree/chart/date/,SpreadsheetDate.java,4,443,110.75,56,1.9776785
