chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classes_BC
org/jfree/chart/,DirectionalGradientPaintTransformer.java,48,77,1.6041666,8,0.20052083
org/jfree/chart/,HorizontalAlignment.java,2,49,24.5,4,6.125
org/jfree/chart/,Args.java,34,80,2.3529413,16,0.14705883
org/jfree/chart/,CategoryLabelWidthType.java,2,45,22.5,4,5.625
org/jfree/chart/,AxisChangeEvent.java,3,62,20.666666,4,5.1666665
org/jfree/chart/,AxisSpace.java,7,359,51.285713,32,1.6026785
org/jfree/chart/,IntervalCategoryToolTipGenerator.java,7,143,20.428572,13,1.5714285
org/jfree/chart/,IntervalXYItemLabelGenerator.java,12,254,21.166666,27,0.78395057
org/jfree/chart/,LengthConstraintType.java,2,53,26.5,4,6.625
org/jfree/chart/,PeriodAxis.java,41,1140,27.804878,98,0.28372324
org/jfree/chart/,DynamicDriveToolTipTagFragmentGenerator.java,3,88,29.333334,5,5.866667
org/jfree/chart/,XYZToolTipGenerator.java,5,48,9.6,4,2.4
org/jfree/chart/,AxisLocation.java,3,84,28.0,4,7.0
org/jfree/chart/,PieToolTipGenerator.java,5,49,9.8,5,1.96
org/jfree/chart/,PaintUtils.java,117,84,0.71794873,24,0.02991453
org/jfree/chart/,CategoryAxis.java,36,1362,37.833332,105,0.36031744
org/jfree/chart/,XYShapeAnnotation.java,27,266,9.851851,21,0.4691358
org/jfree/chart/,DefaultShadowGenerator.java,10,311,31.1,15,2.0733333
org/jfree/chart/,AbstractOverlay.java,6,102,17.0,10,1.7
org/jfree/chart/,IntervalXYToolTipGenerator.java,11,246,22.363636,27,0.82828283
org/jfree/chart/,IntervalMarker.java,11,202,18.363636,14,1.3116883
org/jfree/chart/,NumberTick.java,3,87,29.0,4,7.25
org/jfree/chart/,package-info.java,1,3,3.0,1,3.0
org/jfree/chart/,Timeline.java,11,122,11.090909,17,0.6524064
org/jfree/chart/,NumberTickUnit.java,5,143,28.6,8,3.575
org/jfree/chart/,FastScatterPlot.java,36,1043,28.972221,72,0.40239197
org/jfree/chart/,XYItemEntity.java,4,162,40.5,8,5.0625
org/jfree/chart/,PlotEntity.java,11,191,17.363636,14,1.2402598
org/jfree/chart/,StandardCrosshairLabelGenerator.java,8,138,17.25,9,1.9166666
org/jfree/chart/,CategoryItemEntity.java,8,181,22.625,11,2.0568182
org/jfree/chart/,SelectionZoomStrategy.java,24,137,5.7083335,10,0.5708333
org/jfree/chart/,UnitType.java,2,44,22.0,4,5.5
org/jfree/chart/,XYCrosshairState.java,6,46,7.6666665,4,1.9166666
org/jfree/chart/,PaintScale.java,8,65,8.125,5,1.625
org/jfree/chart/,ExportUtils.java,112,99,0.8839286,17,0.0519958
org/jfree/chart/,BlockParams.java,30,95,3.1666667,4,0.7916667
org/jfree/chart/,BlockContainer.java,14,258,18.428572,21,0.877551
org/jfree/chart/,StringUtils.java,25,62,2.48,8,0.31
org/jfree/chart/,XYAnnotationEntity.java,4,103,25.75,8,3.21875
org/jfree/chart/,XYPolygonAnnotation.java,27,318,11.777778,25,0.47111112
org/jfree/chart/,ImageMapUtils.java,123,116,0.9430894,29,0.032520324
org/jfree/chart/,ToolTipTagFragmentGenerator.java,4,57,14.25,4,3.5625
org/jfree/chart/,PieSectionLabelGenerator.java,11,74,6.7272725,6,1.1212121
org/jfree/chart/,DefaultSelectionZoomStrategy.java,13,250,19.23077,19,1.0121458
org/jfree/chart/,AxisCollection.java,6,131,21.833334,8,2.7291667
org/jfree/chart/,AttrStringUtils.java,182,117,0.64285713,23,0.027950311
org/jfree/chart/,StandardXYSeriesLabelGenerator.java,9,152,16.88889,9,1.8765433
org/jfree/chart/,Marker.java,23,639,27.782608,49,0.566992
